name,GS_url,affiliation,citation_count,interests,interests_url
Viswanath Venkatesh,https://scholar.google.com//citations?hl=en&user=C-7sFjEAAAAJ,Virginia Tech, 146067,"['Information Systems', 'Operations Management', 'Management', 'Psychology', 'Technology Adoption']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:operations_management', '/citations?hl=en&view_op=search_authors&mauthors=label:management', '/citations?hl=en&view_op=search_authors&mauthors=label:psychology', '/citations?hl=en&view_op=search_authors&mauthors=label:technology_adoption']"
Wil van der Aalst,https://scholar.google.com//citations?hl=en&user=aSZYyxIAAAAJ,"Professor of Process and Data Science, RWTH Aachen University || Celonis || Fraunhofer …", 126194,"['Business Process Management', 'Data Science', 'Process Mining', 'Petri nets', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:business_process_management', '/citations?hl=en&view_op=search_authors&mauthors=label:data_science', '/citations?hl=en&view_op=search_authors&mauthors=label:process_mining', '/citations?hl=en&view_op=search_authors&mauthors=label:petri_nets', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Thomas Davenport,https://scholar.google.com//citations?hl=en&user=QUhNN6QAAAAJ,"Professor of IT and Management, Babson College", 125470,"['analytics', 'business analytics', 'information systems', 'business process management', 'artificial intelligence']","['/citations?hl=en&view_op=search_authors&mauthors=label:analytics', '/citations?hl=en&view_op=search_authors&mauthors=label:business_analytics', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:business_process_management', '/citations?hl=en&view_op=search_authors&mauthors=label:artificial_intelligence']"
Detmar Straub,https://scholar.google.com//citations?hl=en&user=YMWhx1gAAAAJ,"Professor, Temple University's Fox School of Business", 86541,"['Information Systems', 'Computer Security', 'Research Methods', 'Cross-cultural Research', 'Neuro-physiological tools']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:computer_security', '/citations?hl=en&view_op=search_authors&mauthors=label:research_methods', '/citations?hl=en&view_op=search_authors&mauthors=label:cross_cultural_research', '/citations?hl=en&view_op=search_authors&mauthors=label:neuro_physiological_tools']"
Paul A. Pavlou,https://scholar.google.com//citations?hl=en&user=hC78QXEAAAAJ,"Cullen Distinguished Chair Professor & Dean, CT Bauer College of Business, University of …", 81385,"['Information Systems', 'Data Science', 'Online Reviews', 'Decision Neuroscience', 'Economics of Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:data_science', '/citations?hl=en&view_op=search_authors&mauthors=label:online_reviews', '/citations?hl=en&view_op=search_authors&mauthors=label:decision_neuroscience', '/citations?hl=en&view_op=search_authors&mauthors=label:economics_of_information_systems']"
Izak Benbasat,https://scholar.google.com//citations?hl=en&user=o_M7aGYAAAAJ,"Professor Emeritus, Sauder School of Business, University of British Columbia", 75888,['Information systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Angappa Gunasekaran,https://scholar.google.com//citations?hl=en&user=Zf2m0RUAAAAJ,"Professor of Operations Management, School of Business Administration, Penn State …", 65575,"['Operations Management', 'Supply Chain Management', 'Information Systems', 'Operations Research', 'Technology Management']","['/citations?hl=en&view_op=search_authors&mauthors=label:operations_management', '/citations?hl=en&view_op=search_authors&mauthors=label:supply_chain_management', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:operations_research', '/citations?hl=en&view_op=search_authors&mauthors=label:technology_management']"
Gordon B. Davis,https://scholar.google.com//citations?hl=en&user=9wvoCssAAAAJ,"Professor of MIS, University of Minnesota 1961-2004", 52218,"['Management Information Systems', 'MIS', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:management_information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:mis', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Varun Grover,https://scholar.google.com//citations?hl=en&user=cynIhPIAAAAJ,George & Boyce Billingsley Endowed Chair and Distinguished Professor, 46743,"['Information Systems', 'Digitalization', 'IT Impacts']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:digitalization', '/citations?hl=en&view_op=search_authors&mauthors=label:it_impacts']"
Andrew Whinston,https://scholar.google.com//citations?hl=en&user=MFPuyXMAAAAJ,University of Texas at Austin, 45571,"['Computer Science', 'Information Systems', 'Economics']","['/citations?hl=en&view_op=search_authors&mauthors=label:computer_science', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:economics']"
Viswanath Venkatesh,https://scholar.google.com//citations?hl=en&user=C-7sFjEAAAAJ,Virginia Tech, 146067,"['Information Systems', 'Operations Management', 'Management', 'Psychology', 'Technology Adoption']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:operations_management', '/citations?hl=en&view_op=search_authors&mauthors=label:management', '/citations?hl=en&view_op=search_authors&mauthors=label:psychology', '/citations?hl=en&view_op=search_authors&mauthors=label:technology_adoption']"
Wil van der Aalst,https://scholar.google.com//citations?hl=en&user=aSZYyxIAAAAJ,"Professor of Process and Data Science, RWTH Aachen University || Celonis || Fraunhofer …", 126194,"['Business Process Management', 'Data Science', 'Process Mining', 'Petri nets', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:business_process_management', '/citations?hl=en&view_op=search_authors&mauthors=label:data_science', '/citations?hl=en&view_op=search_authors&mauthors=label:process_mining', '/citations?hl=en&view_op=search_authors&mauthors=label:petri_nets', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Thomas Davenport,https://scholar.google.com//citations?hl=en&user=QUhNN6QAAAAJ,"Professor of IT and Management, Babson College", 125470,"['analytics', 'business analytics', 'information systems', 'business process management', 'artificial intelligence']","['/citations?hl=en&view_op=search_authors&mauthors=label:analytics', '/citations?hl=en&view_op=search_authors&mauthors=label:business_analytics', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:business_process_management', '/citations?hl=en&view_op=search_authors&mauthors=label:artificial_intelligence']"
Detmar Straub,https://scholar.google.com//citations?hl=en&user=YMWhx1gAAAAJ,"Professor, Temple University's Fox School of Business", 86541,"['Information Systems', 'Computer Security', 'Research Methods', 'Cross-cultural Research', 'Neuro-physiological tools']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:computer_security', '/citations?hl=en&view_op=search_authors&mauthors=label:research_methods', '/citations?hl=en&view_op=search_authors&mauthors=label:cross_cultural_research', '/citations?hl=en&view_op=search_authors&mauthors=label:neuro_physiological_tools']"
Paul A. Pavlou,https://scholar.google.com//citations?hl=en&user=hC78QXEAAAAJ,"Cullen Distinguished Chair Professor & Dean, CT Bauer College of Business, University of …", 81385,"['Information Systems', 'Data Science', 'Online Reviews', 'Decision Neuroscience', 'Economics of Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:data_science', '/citations?hl=en&view_op=search_authors&mauthors=label:online_reviews', '/citations?hl=en&view_op=search_authors&mauthors=label:decision_neuroscience', '/citations?hl=en&view_op=search_authors&mauthors=label:economics_of_information_systems']"
Izak Benbasat,https://scholar.google.com//citations?hl=en&user=o_M7aGYAAAAJ,"Professor Emeritus, Sauder School of Business, University of British Columbia", 75888,['Information systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Angappa Gunasekaran,https://scholar.google.com//citations?hl=en&user=Zf2m0RUAAAAJ,"Professor of Operations Management, School of Business Administration, Penn State …", 65575,"['Operations Management', 'Supply Chain Management', 'Information Systems', 'Operations Research', 'Technology Management']","['/citations?hl=en&view_op=search_authors&mauthors=label:operations_management', '/citations?hl=en&view_op=search_authors&mauthors=label:supply_chain_management', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:operations_research', '/citations?hl=en&view_op=search_authors&mauthors=label:technology_management']"
Gordon B. Davis,https://scholar.google.com//citations?hl=en&user=9wvoCssAAAAJ,"Professor of MIS, University of Minnesota 1961-2004", 52218,"['Management Information Systems', 'MIS', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:management_information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:mis', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Varun Grover,https://scholar.google.com//citations?hl=en&user=cynIhPIAAAAJ,George & Boyce Billingsley Endowed Chair and Distinguished Professor, 46743,"['Information Systems', 'Digitalization', 'IT Impacts']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:digitalization', '/citations?hl=en&view_op=search_authors&mauthors=label:it_impacts']"
Andrew Whinston,https://scholar.google.com//citations?hl=en&user=MFPuyXMAAAAJ,University of Texas at Austin, 45571,"['Computer Science', 'Information Systems', 'Economics']","['/citations?hl=en&view_op=search_authors&mauthors=label:computer_science', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:economics']"
Viswanath Venkatesh,https://scholar.google.com//citations?hl=en&user=C-7sFjEAAAAJ,Virginia Tech, 146067,"['Information Systems', 'Operations Management', 'Management', 'Psychology', 'Technology Adoption']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:operations_management', '/citations?hl=en&view_op=search_authors&mauthors=label:management', '/citations?hl=en&view_op=search_authors&mauthors=label:psychology', '/citations?hl=en&view_op=search_authors&mauthors=label:technology_adoption']"
Wil van der Aalst,https://scholar.google.com//citations?hl=en&user=aSZYyxIAAAAJ,"Professor of Process and Data Science, RWTH Aachen University || Celonis || Fraunhofer …", 126194,"['Business Process Management', 'Data Science', 'Process Mining', 'Petri nets', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:business_process_management', '/citations?hl=en&view_op=search_authors&mauthors=label:data_science', '/citations?hl=en&view_op=search_authors&mauthors=label:process_mining', '/citations?hl=en&view_op=search_authors&mauthors=label:petri_nets', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Thomas Davenport,https://scholar.google.com//citations?hl=en&user=QUhNN6QAAAAJ,"Professor of IT and Management, Babson College", 125470,"['analytics', 'business analytics', 'information systems', 'business process management', 'artificial intelligence']","['/citations?hl=en&view_op=search_authors&mauthors=label:analytics', '/citations?hl=en&view_op=search_authors&mauthors=label:business_analytics', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:business_process_management', '/citations?hl=en&view_op=search_authors&mauthors=label:artificial_intelligence']"
